timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
384906792,0.993405,0.024459204,-0.07021898,0.08727937,1.3881996,0.36558226,9.353431,5.0239735,-30.184528,78.55305
384923459,0.99163926,0.026687624,-0.07610396,0.1007359,1.7130412,0.687969,9.484342,19.606249,-40.420517,92.733086
384940126,0.9895563,0.03058354,-0.07984314,0.11605375,1.4580715,0.15078887,9.417351,33.490074,-26.770391,104.377235
384956793,0.9872619,0.034737404,-0.08236725,0.13161716,1.5036824,0.18178834,9.32098,36.394344,-18.776638,105.82234
384973460,0.9848099,0.037228048,-0.083921544,0.1473806,1.71939,0.50780237,9.278474,26.132757,-10.73327,108.032486
384990127,0.98229045,0.035580482,-0.08423904,0.16353434,1.565935,0.12575959,9.366887,-0.39482462,1.8934842,112.81193
385006794,0.9799005,0.029784663,-0.08391686,0.17851104,1.3793639,-0.12143639,9.527339,-28.40557,10.661758,106.96358
385023461,0.97730404,0.020583296,-0.0822052,0.1941528,1.5740485,-0.09605585,9.655431,-49.218113,24.215899,113.38001
385040128,0.9742803,0.010970845,-0.08125179,0.2098951,1.7767868,-0.036279082,9.078378,-52.8756,19.438698,114.966675
385056795,0.9710944,0.0006698856,-0.078959614,0.2252567,1.6010535,-0.45105994,9.091505,-55.758068,29.281029,112.933914
385073462,0.9679071,-0.012072803,-0.07496945,0.23956157,1.4264057,-0.7316287,9.190003,-70.00602,44.393623,107.19832
385090129,0.96466196,-0.026367528,-0.06979714,0.25270644,1.1994889,-0.76418877,9.109678,-78.98953,54.88226,100.479546
385106796,0.9613449,-0.03927529,-0.06594967,0.26443237,1.0211135,-0.8591459,9.049675,-72.78647,43.90522,90.28392
385123463,0.9578554,-0.049755834,-0.062206946,0.27598515,1.000014,-0.880099,9.048134,-57.05986,38.76621,88.3218
385140130,0.9543927,-0.05770185,-0.058735713,0.2869764,0.84744304,-1.2366595,9.181124,-41.116795,32.371223,83.395744
385156797,0.95098734,-0.06394375,-0.05356569,0.29776683,0.62089944,-1.417649,9.26026,-26.642628,40.2581,81.94992
385173464,0.9472776,-0.069944516,-0.046152517,0.30926177,0.34929013,-1.5277572,9.496533,-20.34971,54.008266,88.07823
385190131,0.94297504,-0.076347,-0.038819194,0.32165566,-0.13456896,-1.7644424,9.790389,-23.13785,53.719677,95.28207
385206798,0.93848425,-0.08295742,-0.03576273,0.33329636,-0.325251,-1.8372,9.612193,-34.245728,26.790646,88.62172
385223465,0.9350778,-0.08789481,-0.03936566,0.34110788,-0.35126203,-2.013181,9.421395,-39.03483,-17.56699,57.214043
385240132,0.9320532,-0.09176001,-0.043982975,0.34773907,-0.383146,-2.1238081,9.577819,-34.609432,-25.789957,47.822124
385256799,0.929461,-0.09512186,-0.05087715,0.35279697,-0.06823727,-2.140663,9.3561735,-37.031017,-40.464314,35.11282
385273466,0.92722267,-0.09696528,-0.05971185,0.35677782,0.31014496,-2.0956872,9.187656,-32.18071,-55.72207,25.568737
385290133,0.92521244,-0.09660895,-0.07012595,0.36018202,0.4860767,-2.1669397,8.90392,-22.117266,-70.70841,19.372137
385306800,0.9234112,-0.09533997,-0.080106415,0.36305,0.3549111,-2.4130878,9.266669,-15.3582,-69.75276,15.290665
385323467,0.9218674,-0.09244086,-0.08920557,0.36559245,0.6741411,-2.4131024,9.092726,-2.8193269,-67.87346,12.261447
385340134,0.9205394,-0.08768314,-0.09711985,0.36808527,0.96162206,-2.3063848,8.907688,12.0459385,-64.87205,11.016111
385356801,0.91929203,-0.08120891,-0.1054692,0.370383,1.2799412,-2.30244,9.005914,21.72744,-71.79907,8.169674
385373468,0.9182082,-0.0718628,-0.11364344,0.37257847,1.4409684,-2.2034779,8.9953165,40.3425,-77.82987,5.121674
